x,y
3383.6,2625.5
3408.4,2631.2
3316.6,2632
3322,2632.5
3264.7,2637.4
3194.2,2653.5
3513.1,2655.7
3824.2,2657.6
3625.4,2661.6
3368.2,2664
3619.3,2670.9
3628,2682.5
3618.8,2693.9
3822.8,2713.3
3876.6,2713.1
3869.8,2715.2
3760.7,2719.3
3849.5,2721.8
3235.7,2723.1
3492.6,2723.8
3763.3,2725.9
3584.8,2749.8
3827.9,2754
3375.2,2757.1
3773.9,2755
3829.5,2761.6
3953.3,2763
3603.6,2772
3822.1,2771.3
3649,2785.5
3814.2,2783.4
3809.7,2787.9
3877.9,2793.1
3231.4,2794.4
3672.5,2794.9
3936.2,2795.5
3935.5,2808.1
3671.5,2808.6
3480.2,2812.2
3769,2811.3
3734.8,2821.1
3772.2,2831.9
3766.1,2836.7
3321.5,2838.9
3777.6,2841
3239.8,2865.4
3694,2892.4
3539.3,2905.9
3610.5,2942.8
3665.2,2950.1
3805.7,2976.7
3592.1,2980.6
3866.5,2992.9
3448.5,3001
3617,3011.3
3413.3,3012.5
3787,3048.1
3723.6,3048.5
3780.5,3051.3
3798.9,3083.6
3877.4,3094.5
3874.7,3101.3
3689.2,3116.3
3756,3125
3902.1,3131.2
3742,3133.1
3569.2,3137.7
3199.9,3150
3722.6,3156.7
3651.6,3172.1
3952.1,3189.9
3828.5,3192.7
3791.8,3197.4
3786.5,3198.7
3526.8,3200.1
3782.6,3203.4
3951.9,3206.6
3958.2,3208.9
3795,3210
3774.3,3211.9
3244.1,3233.2
3934.7,3237.2
3758.3,3247.1
3776.9,3263.9
3883.1,3271.3
3627.9,3298
3853.2,3296.2
3676.2,3320
3915.5,3324
3725.3,3341.2
3582.5,3362.4
3969.9,3456.6
4582.6,2638.7
4458.2,2645.1
4033.5,2673.1
4391.8,2674
4308.3,2678.3
4034.4,2681.6
4165.6,2684.9
4239.7,2684.5
4582.4,2687.4
4641.7,2691.1
4473.5,2706.2
4720.6,2708.8
4536.6,2737.6
4508.8,2738.9
4582.6,2761.3
4753.5,2762.2
4749.3,2767.2
4181.2,2770.1
4595,2788.6
4282.7,2795.1
4593.9,2795.9
4470.7,2804.1
4323.6,2812.4
4604.4,2812.7
4416.6,2819.7
4524.6,2821.8
4731,2821.4
4586.7,2825.6
4728,2826.3
4351.9,2842.8
4725.3,2851.6
4501.5,2860.3
4188.9,2863
4433.6,2864
4699.2,2886.3
4242.2,2892
4354.4,2896.7
4422.6,2899.9
4424.2,2907.3
4473.6,2911.2
4104.3,2914
4353.4,2920.1
4409.8,2928.7
4110.6,2944.5
4213,2953.9
4537,2954.8
4287.9,2958.9
4279.2,2961
4637.5,2969.9
4703.3,2979.8
4337.3,2987.6
4501.9,2990.3
4409.5,2991.6
4711.4,2995.5
4582.3,3000.3
4342.2,3003.4
4157.3,3016.3
3980.1,3029.7
4394.9,3050
4398.5,3055.8
4053.6,3058.4
4414.2,3061.6
4387.1,3067.1
4420.3,3067.8
4362,3070.9
4742.1,3070.9
4354,3074
4373.7,3071.8
4377.1,3075
4416.9,3075.1
4139,3077.7
3971.1,3079.3
4063.8,3081.9
4271.8,3086.8
4692.9,3095.9
4430.9,3103.6
4352,3107.4
4437,3110.4
4777.5,3119
4084,3128.1
4391,3143.1
4127.2,3142.9
4119,3150.1
4024,3152.6
4070,3156.8
4526.3,3165
4065.3,3165.4
4358.8,3175.3
4344.9,3171
4399.1,3179.6
4261.3,3176.2
4442.7,3180.3
4376.4,3187
4780.7,3187.7
4166,3195.5
4596.4,3194.6
4171.4,3198.8
4306.3,3204.9
4059,3209
4072.9,3211.2
4720.2,3211.2
4392.3,3213.3
4557.2,3214.3
4755.3,3223
4557,3228
4381.2,3235.6
4481.3,3238.3
4374.1,3242.7
