x,y
3355.3,4370.6
3383.9,4376.3
3247.2,4393.7
3273,4408.8
3308.9,4405.1
3203.6,4419
3183.8,4386.8
3309.2,4398.9
3265.1,4414.5
3453,4423.3
3243.5,4425.8
3216.2,4426.1
3198.7,4432.8
3238.3,4430.8
3354.9,4429.5
3362.9,4429.6
3238.6,4436.8
3230.6,4439.2
3205.7,4443.2
3279.1,4441
3318.2,4445.2
3230.3,4445.7
3250.9,4450.6
3309.6,4450.7
3226.5,4450.7
3273.3,4451.2
3205.9,4456.9
3364.3,4457.7
3232.5,4456.4
3190.8,4457.4
3315.3,4460.4
3327,4462.3
3247.2,4464.6
3230.1,4464.2
3388.3,4464.8
3294.6,4469.5
3206.5,4468.4
3392.4,4471.2
3245.5,4476.3
3224.3,4476.3
3184,4475.6
3407,4477.6
3333.8,4481.5
3356.6,4482.8
3302.1,4483
3218.9,4485.8
3272.6,4485.8
3280.1,4488.2
3228,4489.3
3319.4,4488.1
3393.2,4491.2
3275.2,4491.2
3327.9,4492.4
3355.2,4493.5
3321.3,4496.4
3210.9,4498
3281.4,4502.3
3201.9,4497.7
3352.3,4500
3196.4,4504.5
3220.9,4502.7
3458.7,4503.5
3366.2,4504.8
3480.1,4503.5
3325.4,4504.9
3452.1,4509.2
3203.6,4505.2
3402.8,4511
3373.9,4511.2
3395.9,4512.9
3200,4513.3
3260.7,4515.2
3431.9,4513.9
3412.8,4516.6
3178.7,4517.8
3378.8,4518.8
3361.1,4519.8
3205,4521.7
3276.2,4523.3
3431.4,4520.6
3402,4522.1
3196.8,4522.1
3388.9,4524.5
3417.3,4527.5
3183.9,4523.7
3269.3,4528.8
3366.1,4527.3
3356.2,4525.8
3297.5,4525.1
3377.7,4527.7
3384.9,4528.3
3193.4,4528.7
3303.5,4532.5
3458,4529.7
3329.5,4530.9
3295.5,4532.5
3359,4531.8
3408.9,4534.7
3395.1,4536.5
3188,4536.2
3250,4535.6
3357.8,4539.4
3205.4,4536.6
3195,4539.3
3472.4,4539.8
3328.2,4539.2
3416.7,4539.7
3259.6,4539.4
3406.2,4549.6
3382.7,4546.4
3178.1,4545.2
3441.9,4549.1
3330.3,4547.6
3418.3,4547.9
3301.7,4551.2
3361,4553.5
3178.5,4551.2
3337.5,4551.2
3493.5,4555.9
3207.4,4555.1
3186,4557.3
3368.1,4560.2
3283.8,4558
3341,4557.9
3356.4,4558.7
3227.8,4559.9
3315.8,4561.1
3299.8,4562
3413.5,4560.6
3446.9,4559.9
3419.5,4562.7
3267.4,4560.5
3212.3,4561.6
3180.3,4562.4
3691.9,4568.5
3219.4,4566.7
3544.7,4568.7
3177.4,4568.6
3234.2,4567.8
3412.1,4569.3
3242.2,4571.2
3316.9,4570.4
3347,4569.5
3435.4,4569.8
3364.5,4571.3
3281.3,4574.7
3503.3,4571.5
3371.5,4573.5
3231.8,4575.7
3309.8,4581.1
3248.6,4575.5
3342.7,4575.4
3540.1,4574.4
3196.1,4575.7
3657.9,4577.7
3179.1,4577.6
3388,4579.9
3224.2,4577.8
3553.5,4579.6
3254.1,4579.3
3351.9,4584.8
3442.2,4582.7
3273.9,4580.6
3411.5,4580.8
3202.8,4583.1
3545.3,4580.7
3345.9,4582.3
3483.1,4590.7
3188.5,4586.8
3177.4,4587.1
3231.4,4589.2
3257.5,4586.9
3547.5,4586.2
3421.3,4586.9
3470.1,4590.1
3326.8,4591.2
3425.9,4593.5
3557.1,4591.8
3309.5,4592.5
3204.1,4593
3376.7,4594.6
3212.4,4596.5
3539.5,4593.8
3184.6,4595.9
3517,4595.5
3357.1,4598.1
3382.8,4598.6
3420.9,4598.6
3523.6,4597.3
3247.7,4601.7
3281.9,4599.2
3235.6,4600
3488.6,4600.2
3544.3,4600.5
3259.5,4602.8
3312.7,4604.5
3183.2,4604.2
3278.1,4605.8
3410.4,4607.2
3705.5,4606.4
3369.7,4607.9
3283.7,4605.6
3355.3,4605.5
3584,4607.8
3423,4611.5
3352.5,4611
3574.7,4611.6
3308.9,4615.2
3511.6,4609.8
3258.7,4613.8
3455.6,4612.6
3328.1,4616.1
3526.4,4615
3360.5,4613.9
3540.4,4619.7
3438.3,4617.1
3728.8,4616.3
3405.5,4619
3446.8,4620
3373.7,4617.1
3198,4619.8
3506.9,4618.1
3356.4,4620.7
3417.5,4622.5
3248.8,4622.8
3365.4,4623.2
3223.1,4622.8
3266.2,4626.5
3317.8,4624.4
3377.6,4624
3430.4,4629.4
3455.4,4624.9
3333.8,4625.6
3639.9,4625
3196.6,4629.2
3280.5,4632.4
3255.1,4627.4
3647.1,4632.3
3416.6,4630.4
3451.6,4630.8
3255,4634.2
3302.7,4630.3
3365.2,4630.2
3505.4,4632.6
3539.7,4632
3547.1,4632.7
3221.4,4632.1
3376.1,4633.9
3352.9,4634.9
3456.9,4632.5
3386.2,4638.5
3533.3,4636.4
3335.8,4637.4
3655,4640
3392.5,4637.2
3454.4,4639.3
3540.5,4639.4
3463.3,4641.8
3191.7,4643.3
3416.9,4644.8
3511.8,4642.8
3231.9,4644.8
3394.3,4644.8
3582.3,4644.9
3589.9,4642.5
3258.5,4645.8
3381.5,4644.1
3430.5,4647.1
3364,4645.8
3325,4650.9
3373.4,4651.2
3456.5,4646.4
3285.5,4650.4
3387.4,4648.7
3199.3,4648.8
3178.9,4651.1
3463.4,4652.2
3592.5,4650.9
3455.6,4656.3
3667.3,4656.5
3732.5,4652.3
3238.7,4656.3
3365.7,4653.1
3563.7,4653
3586.9,4652.8
3395.7,4653.2
3494.1,4654.3
3624.6,4659.2
3777.3,4655.6
3293.5,4657.2
3505.7,4656.3
3252.6,4656.5
3388.6,4655.4
3185.4,4660.1
3205.2,4663.5
3561.2,4658.1
3330.7,4660.5
3323,4661.9
3257.5,4666.5
3570.3,4658.9
3599.3,4661.7
3199,4667.4
3396.3,4666.7
3705.4,4662.8
3421.3,4663.1
3526.9,4665.7
3692.1,4669
3231.8,4668.1
3670.1,4667.7
3319.2,4668
3237.8,4669.2
3444,4669.6
3536.2,4667.4
3595.8,4670.7
3755.8,4668.3
3212.2,4669
3660.8,4668.5
3353.3,4672.2
3332.9,4670.4
3373.8,4673.9
3493.4,4671.7
3578.8,4669.6
3263.9,4673
3340.3,4673.4
3540.5,4671.7
3703,4671.7
3430.2,4675
3454.6,4672.4
3196.1,4677.1
3585.9,4674.2
3295.8,4676.5
3523.9,4675.5
3307.9,4673.3
3417.9,4676.1
3223,4677.5
3459.5,4677.6
3488.7,4678.9
3580.2,4676.6
3334.6,4679.5
3387.1,4681.6
3211.6,4683.9
3269.4,4678.6
3499.8,4678.1
3204.7,4679.6
3310.8,4680.3
3379.9,4682.3
3530.8,4679.4
3238.7,4682.1
3262.7,4682.6
3399.4,4680
3642,4679.3
3446.6,4680.9
3543.8,4681.2
3659.9,4685.6
3569.1,4682.4
3405.9,4682.5
3454.6,4683.5
3500.4,4684.6
3561.5,4683.4
3275.2,4686.3
3417.1,4687.5
3584.4,4685.2
3617.8,4688.4
3338.4,4687.9
3627.2,4689.1
3205.8,4694.3
3317.9,4687.8
3297,4692
3457.4,4688.7
3511.6,4688.8
3551,4688.8
3711.6,4691.4
3229.2,4691.4
3611,4690
3635.7,4690.3
3260.5,4692.8
3268.1,4698.4
3503.9,4694.2
3180.9,4693.1
3246,4694.7
3342.8,4693
3427.3,4695.7
3703.2,4696.8
3491.3,4696.2
3639.3,4696.7
3481.1,4696.2
3623.4,4698.9
3177.6,4700.7
3281,4698.5
3366.1,4698.5
3339.4,4698.8
3359.9,4704.8
3372.5,4698.9
3313.3,4698.2
3473.4,4698
3714.3,4698
3724.4,4699
3695.4,4701.9
3304.4,4700.9
3345.9,4703.2
3378.8,4703.4
3728.7,4705.2
3615.7,4703.2
3245.4,4702.9
3558.4,4702.7
3709.4,4703
3540.6,4705
3687.3,4705.6
3309,4703.4
3721.8,4704.2
3400.7,4706.1
3478.9,4705.4
3703,4706.7
3284.2,4707.8
3449.2,4706.1
3569.4,4705.9
3456.8,4707.3
3467.9,4708
3645.7,4710.5
3307.4,4710.4
3409.5,4711.1
3425.6,4712.8
3563.1,4709.9
3621.6,4711.5
3521.3,4711.1
3576,4710.4
3349.7,4713.2
3473.6,4712
3494.8,4711.1
3510.1,4711.5
3636.8,4711.8
3671.2,4713
3569.3,4712.5
3260.2,4719.3
3538.8,4717.5
3584,4717.5
3214.5,4714.7
3176.4,4716.9
3372,4715
3239,4719
3309.7,4721
3377.9,4722.5
3506.4,4722.8
3576,4718.2
3642.4,4722
3678,4720.2
3400.4,4720.1
3346.3,4723.4
3449.7,4721.3
3615,4723.1
3335.6,4722.3
3180,4728
3254.1,4724.9
3546.8,4723.1
3372,4726.7
3621.1,4723.7
3656.4,4730.5
3355.6,4725.8
3565.5,4727.1
3498.6,4725.8
3735.9,4728.1
3532,4726.8
3672.4,4727.7
3541.1,4726.2
3339,4730.3
3552.4,4729.7
3608.6,4732.2
3742.7,4729.4
3546.9,4730.5
3620.4,4730.9
3708.5,4731.9
3290.1,4731.6
3625.6,4733.8
3189,4732.8
3368.8,4740.8
3217.4,4737.5
3539,4732
3513.5,4733.7
3532.4,4735.2
3677.4,4734.7
3322.1,4734.9
3491.9,4738.2
3602.9,4734.4
3449.8,4736.3
3644.3,4734.7
3314.9,4738.6
3276.1,4738.9
3347.4,4735.5
3253.9,4737.5
3712.8,4737.6
3739.1,4739.7
3823.8,4738.4
3264.3,4739.3
3556.7,4739.8
3199.7,4742.9
3619.3,4741.8
3498.7,4740.1
3719,4739.2
3765.4,4739.5
3356.6,4739.6
3184.3,4740.5
3434.7,4741.9
3745.9,4738.5
3177.3,4739.2
3484.5,4739.7
3650.2,4740.8
3694.8,4740
3512.7,4740.7
3393.3,4742.2
3189.8,4741.6
3287.3,4743.6
3324.5,4742.3
3750.4,4742.6
3663.3,4742.6
3576.8,4744.2
3755.7,4745.5
3259.5,4746.1
3345.6,4747.7
3538.3,4748.4
3448.2,4751
3530.1,4748.4
3356.3,4747.8
3327.5,4752.5
3512.8,4747.6
