x,y
3584,4403.7
3513.8,4402.5
3490.8,4403.6
3456.3,4407.2
3569.5,4407.8
3421.8,4406.5
3501.9,4409.9
3590.4,4418.9
3548.3,4419.6
3581.6,4417.3
3503.5,4418
3518.2,4420.1
3579.1,4422.5
3535.2,4401.6
3469.7,4404.4
3475.7,4402.6
3525.7,4403.8
3508.1,4404.4
3544,4406
3482.3,4406
3515.8,4408.4
3571.3,4416.2
3492.5,4416.7
3538.4,4421.2
3510.1,4418.1
3445.6,4424.2
3510.2,4424.8
3598.3,4425.8
3565.9,4425.1
3433.5,4424.9
3461.2,4426.9
3517.4,4428.1
3561.3,4429.4
3580.4,4429.1
3423.9,4428.3
3453.1,4428.6
3411.7,4429.3
3432.3,4431.5
3526.1,4430.3
3543.4,4434.7
3478.5,4431.4
3596.2,4433.7
3568,4434.2
3468.8,4436
3518,4434.9
3457,4437
3417.1,4438.1
3530.8,4438.3
3563.4,4437.2
3525.6,4441.7
3572.3,4439.2
3578.8,4440.5
3433.3,4443.7
3477.5,4443.4
3424.4,4445
3536.3,4443.9
3585.5,4444.3
3402,4444.8
3547.3,4445.8
3454.1,4446.2
3460,4448.2
3419.5,4449
3502.1,4451.3
3475.7,4452.5
3531.5,4450.9
3596.4,4451.4
3402.2,4453.7
3424.8,4454.6
3434.6,4456
3554.3,4456.2
3507.1,4457.8
3480.7,4460.6
3536.7,4460.6
3559.8,4461
3441.8,4460
3576.6,4460.2
3430.7,4461.1
3494.8,4464.1
3550.1,4461.9
3565.8,4462.1
3524.9,4461.7
3583.8,4465.2
3424.2,4463.5
3446.7,4466.7
3553.5,4466
3433.4,4467.1
3560.7,4469.6
3427,4470.4
3513.4,4469.8
3509.2,4472.5
3543.7,4472.7
3589.5,4473.1
3569.5,4473.8
3586.5,4478
3421.5,4478.8
3517.7,4477.6
3580.4,4479
3466.9,4480.2
3542.2,4482.8
3550.2,4484.3
3426.1,4484.3
3512.3,4485.8
3596.7,4486.7
3445.9,4489.9
3485,4492.4
3569.8,4493
3545.6,4494.4
3435.1,4502.2
3485.9,4499.4
3558.2,4502.3
3491.5,4511.6
3558.7,4511
3565.7,4514.3
3585.2,4516.2
3597,4519.1
3442.5,4519.1
3575,4516.3
3559.8,4519.3
3513.5,4522.2
3461,4519.6
3452.5,4527.4
3571,4523.5
3466.5,4524.5
3522.2,4527.2
3473.8,4530
3577.1,4534
3456.8,4538.7
3487.4,4537.3
3543,4540
3578.1,4540.8
3493.8,4540.6
3437.3,4541.6
3587.2,4544.6
3518.3,4542.9
3480.8,4548.3
3500.1,4548.5
3559.6,4548.3
3519.5,4550.4
3474.5,4552.2
3555.7,4556.7
3486,4561.9
3503.9,4563.8
3494.4,4570.6
3464.2,4572.2
3444.5,4572.2
3466.5,4579.3
3502.2,4583
3598.3,4583.4
3576.5,4585.2
3567.2,4587.2
3510.1,4591.1
3573.9,4592.3
3453.2,4595.2
3569.5,4598.6
3575.7,4598.1
