x,y
3197.3,2629.3
3301.3,2625.9
3347.9,2624.2
3358.5,2624.4
3365.6,2624.7
3394.6,2625
3431.1,2625.8
3442.1,2626.9
3450.1,2625.8
3480.9,2627.9
3506.5,2624.7
3533.1,2625.7
3587.2,2624.7
3595.6,2624.7
3639.5,2625.4
3780.7,2625.4
3793.7,2628.7
3800.8,2626.3
3817.6,2628.7
3827.4,2625.7
3855.2,2626.4
3902.8,2625
3912,2627.6
3919.2,2624.3
3926.9,2625.7
3938.8,2627
3251.7,2625.6
3270.7,2625.1
3400.9,2626.7
3463.2,2627.9
3498.3,2627.4
3654.7,2626.2
3960.1,2626.2
3264.3,2627.9
3681.7,2628.6
3604.1,2626.7
3662.7,2626.7
3840.8,2628.2
3275.7,2631.3
3331.5,2628.7
3519.5,2628.8
3376,2630.9
3425.6,2631.9
3630.8,2631.9
3647.5,2628.9
3760.2,2631.6
3772.1,2631.6
3834.4,2628
3350.9,2630.6
3224.2,2629.4
3616.9,2629.9
3846.8,2628.5
3218,2630.5
3248.2,2631.4
3508.4,2633.3
3668.3,2631.2
3805.6,2632.6
3554,2630.8
3595.6,2630.8
3949.8,2630.5
3394.7,2631
3786.6,2631
3469.5,2633.6
3542.5,2632.9
3611,2634.4
3643,2632.7
3965.3,2631.6
3231.6,2633.5
3295.8,2634.4
3455.8,2634
3385.9,2636
3535.1,2638.1
3932.9,2633.5
3178.1,2635.7
3186.3,2634.4
3551.7,2636.7
3283.4,2635
3527.5,2634.1
3585.6,2637.6
3652.1,2634.2
3958.3,2635.4
3523.1,2636.4
3573.7,2634.5
3675.2,2635.3
3841.2,2636.5
3860.3,2638.3
3369.6,2636.1
3407.1,2636.7
3448.2,2634.5
3780.9,2635.2
3464.2,2636.6
3914.1,2636.1
3989.2,2639.6
3400,2638.8
3599.7,2637.3
3713.9,2637.9
3942.1,2635.5
3212.7,2637.6
3196,2637.1
3488,2637.6
3354,2639.1
3444.8,2638.5
3484.6,2641.5
3238.4,2639.6
3307.2,2638.2
3765.4,2640.5
3927.4,2639.7
3453.5,2639.4
3654.6,2640.3
3853.3,2638.8
3904.8,2641.9
3276.6,2641.4
3606.3,2641.4
3646.1,2639.7
3256.4,2642.1
3498.3,2641.3
3286.7,2643.2
3774,2644.9
3627.4,2643.3
3394.3,2643.7
3947.2,2644.2
3691.1,2641.5
3981.8,2644.9
3374.6,2643
3298.3,2643.4
3724.4,2644
3411.7,2646.3
3528.1,2646.9
3635.8,2647.5
3698.4,2646.3
3910.7,2645.7
3514.9,2648.3
3569.3,2645.5
3580.3,2646.2
3854.1,2646.4
3560.2,2644.6
3680.3,2646.9
3362.6,2645.2
3940.7,2645.2
3336.9,2645
3642.7,2646.4
3245.2,2650
3496.1,2650.5
3619.2,2646.9
3993.9,2649
3595.7,2649
3612.4,2649.7
3928.3,2647.6
3188.1,2649
3201.5,2649.5
3934.6,2648
3305.6,2650.5
3457.6,2651.8
3553,2647.6
3370.9,2650.5
3561.9,2650.2
3722.9,2649.8
3736.6,2649
3754.4,2650.8
3482.3,2651
3655.9,2649.2
3257.7,2649.8
3317.2,2649.7
3324.9,2649.5
3761,2650.8
3864.6,2650.5
3341.4,2650.7
3441.4,2651.2
3847.4,2651.8
3268.7,2652.4
3311.7,2652.1
3365.8,2653.9
3403.7,2653.3
3584.7,2654.9
3917.3,2656.2
3332,2652.2
3422.2,2651.9
3524.7,2655.4
3730.2,2654.6
3806.1,2653.6
3941.7,2651.8
3451,2651.9
3555.3,2653.7
3766.4,2653.1
3213.7,2653.9
3351.8,2652.8
3503.5,2656.2
3539.7,2654.8
3828.3,2653.2
3841.5,2653.2
3925.9,2653.1
3471.9,2656.6
3620.6,2654
3661.3,2653.7
3812.9,2655.2
3323.9,2654.9
3383.1,2654.1
3604.7,2655.7
3702.9,2655.7
3290,2657
3464.7,2658.6
3626.5,2656.1
3438.6,2656.8
3532.8,2658.7
3561.4,2656.9
3736.4,2655.2
3780,2656.7
3854.2,2663.2
3989.4,2655.5
3450.9,2657
3769.5,2657.6
3183.7,2658.2
3354.9,2657.5
3302.3,2658.3
3415.7,2660.2
3819.2,2660.2
3947.8,2658
3279.4,2659.3
3347.8,2658.4
3489.2,2658
3179.3,2664.2
3666.3,2660.3
3844.5,2663.9
3245.8,2660.1
3263.5,2659.5
3430.9,2662.8
3479.9,2659
3640.8,2660.2
3894.8,2659.2
3903.5,2660.3
3984.3,2659.5
3372.8,2660.4
3615,2661.1
3634.7,2659.4
3650.6,2660.1
3202.1,2660.4
3309.3,2661.6
3792.7,2661.5
3320.7,2661.5
3362,2661.1
3589,2661.4
3741.1,2663.6
3192.6,2661.3
3386.5,2661.3
3542.4,2663.6
3836,2661.2
3380.2,2663.2
3659.3,2663.5
3776.4,2665.2
3812.1,2665
3909.8,2666.4
3356.2,2663.7
3509.4,2667
3515,2664.1
3521.2,2665
3343.1,2664.4
3502.6,2663.8
3287.1,2665.3
3603.5,2666.3
3717.5,2668
3250.1,2665.4
3440.7,2664.8
3476.6,2667.7
3567.9,2669.2
3632,2665.7
3894.8,2670.6
3188.4,2665.3
3468.1,2666.4
3559.7,2665.4
3982.5,2666.7
3822.5,2671.5
3953.6,2671.7
3262.8,2667.7
3312.6,2667.3
3388.1,2666.9
3836,2672.5
3961.3,2666.6
3221.8,2666.7
3296.3,2667.8
3612.2,2669.3
3333.3,2667.8
3650.4,2667.3
3668.1,2669.3
3975.6,2668.1
3355.3,2668.7
3365.1,2669.7
3548,2668.4
3199.3,2669
3341,2670.8
3583.9,2670.8
3349.2,2672.2
3428.1,2673.9
3447.4,2672.2
3657.8,2672.2
3251.8,2671
3523.9,2672.1
3807.2,2672.1
3221.5,2671.7
3515.9,2673.5
3740.7,2672.7
3918.2,2675.8
3191.6,2673.1
3470.7,2672.6
3647.4,2673.1
3438.9,2676.4
3241.5,2674.1
3562.8,2680.4
3356.6,2676.7
3540.3,2674.8
3550.5,2676.1
3814.6,2675.3
3200.3,2675.6
3304,2674.5
3260.8,2675
3278.1,2677.2
3579.4,2675.8
3846.6,2677.8
3183.2,2678.8
3379.7,2676.2
3534.9,2677.1
3589.1,2678.6
3736.1,2678
3905.9,2677.6
3285.1,2676.6
3387.8,2680.3
3475.1,2678.9
3292.4,2677.4
3899.4,2677.9
3209.1,2681.7
3396,2678.8
3667.9,2679.9
3809,2680.5
3308.3,2678
3469.4,2679.7
3489.5,2682.1
3514,2680.9
3651.7,2680.2
3745.6,2682
3229.8,2679.2
3728,2679.9
3497.5,2679.5
3661.6,2681.1
3718.2,2679.8
3448,2681.4
3610,2682
3417.3,2681.9
3546.1,2682.6
3890.3,2681.8
3368.9,2684.4
3381.4,2682.2
3635.2,2683.8
3895.5,2682.3
3539.2,2685.9
3553.5,2683.8
3602.3,2682.7
3836.3,2685.1
3303.8,2686.7
3293.9,2685.3
3360.6,2686.6
3279,2687.5
3424.3,2685.3
3500.4,2686.6
3243.6,2687.7
3401.6,2689.2
3583.6,2686.3
3233.8,2684.8
3393.9,2685.8
3666.7,2686.4
3675.7,2686.8
3730.7,2688.5
3786.2,2685.8
3844.6,2686.4
3378.5,2688.3
3429.8,2687.6
3597.2,2686.5
3910.5,2687.5
3451.6,2689.2
3517.6,2687.6
3685.6,2689.5
3349.1,2687.3
3419.9,2689.7
3894.1,2687.6
3754.4,2690.7
3467.9,2690.7
3609.7,2692.6
3204.1,2689.3
3234.5,2690.1
3390.1,2689.7
3270.7,2690.2
3354.3,2689.8
3739.3,2692.3
3819,2691.4
3211.7,2693
3288.8,2691.1
3572,2693.8
3594.9,2692.1
3954.7,2692.1
3222.6,2692.3
3832.2,2692.7
3811.7,2696.8
3847.9,2692.9
3265.9,2694.3
3458.7,2694.6
3530.7,2692.4
3905.3,2695.3
3368.9,2694.5
3503.9,2698.6
3435.8,2698.4
3488.9,2697.6
3627.7,2695.8
3681.7,2695.9
3350.5,2696.2
3546.9,2694.2
3587.5,2694.7
3914.5,2695.3
3180.3,2695
3522.1,2698.7
3425.3,2697.6
3540.6,2697.6
3291,2696.9
3700.2,2695.3
3514,2697.8
3657.4,2698.1
3646.9,2698.7
3202.9,2699.3
3229.8,2699.3
3555.3,2696.8
3894.7,2700.6
3240.4,2699.4
3716.1,2699.5
3754.9,2699.4
3215.8,2699.3
3477.1,2703.7
3790,2699.1
3401.4,2698.6
3821.5,2701.7
3259.8,2699.1
3593.6,2699.8
3735.6,2702.2
3743.3,2698.6
3852.1,2702.5
3909.9,2698.6
3981.1,2702.1
3301.6,2702.1
3705.7,2699.6
3842.3,2702.2
3295.1,2703
3665.8,2701.8
3749.1,2701.5
3950.4,2702.1
3180.2,2702.8
3414.2,2701.8
3560.7,2703.3
3696,2701.8
